
Brand symbol,1,logo,2,down right col
Beach ֿcover,3,sand,4,down right col
Manx cat's lack,5,tail,6,down right col
Sure why not?,7,okay,8,down right col
Light axe,17,tomahawk,9,up right row
Not a movie,19,real,27,down
oasis tree,21,palm,29,down
small wild ox,23,anoa,31,down
puns and such,33,wordplay,25,up right row
rabbit's head set,34,ears,42,down
japanese fish delicacy,36,fugu,44,down
aware of,38,onto,46,down
coral ridge,40,reef,48,down
ocean bottom,49,seafloor,41,up right row
female grads,57,alumnae,50,up right
stop from flowing,59,shutoff,66,down left
squad,61,team,69,down
sure thing,63,fact,71,down
gazpacho/gumbo/borsch,65,soup,73,down
magnate,74,oligarch,81,down left
three line poem,76,haiku,67,up left
subject of speech,78,referent,86,down
hatted like bikers,80,helmeted,88,down
plan-chart-scheme,90,layout,98,down
cake and candy,92,sweets,100,down
dispense,101,mete,93,up right row
french school,103,lycee,111,down
math sign,105,plus,98,up right row
engulf,107,whelm,108,right
careal grass,117,rye,118,right
eight bits,121,byte,113,up right row
choose,123,elect,124,right
born as,133,nee,134,right
polly-to tom,137,aunt,129,up right row
located,139,sited,140,right
